#ID;TIME;DOSE;ADDL;II;Y;YTYPE;CENS;CELL LINE;DOSE GROUP;DRUG;EXPERIMENT;TUMOR SIZE;BW
119;16;137.5;.;.;.;.;.;1;6.25;1;2;423.7735;22.1
119;16.02222222;.;.;.;1970;1;.;1;6.25;1;2;423.7735;22.1
119;18;.;.;.;.;.;.;1;6.25;1;2;439.6155;21.5
119;21;.;.;.;.;.;.;1;6.25;1;2;459.418;23.3
119;23;.;.;.;.;.;.;1;6.25;1;2;439.002;22.2
119;25;.;.;.;.;.;.;1;6.25;1;2;592.012;22.6
119;28;.;.;.;.;.;.;1;6.25;1;2;877.23;23
119;30;.;.;.;.;.;.;1;6.25;1;2;912.525;23.8
131;0;.;.;.;.;.;.;1;6.25;1;2;104.3625;25.8
131;2;.;.;.;.;.;.;1;6.25;1;2;219.375;26.4
131;3;162.5;.;.;.;.;.;1;6.25;1;2;219.375;26.4
131;4;.;.;.;.;.;.;1;6.25;1;2;298.5255;24.5
131;4;156.25;2;1;.;.;.;1;6.25;1;2;298.5255;24.5
131;7;.;.;.;.;.;.;1;6.25;1;2;518.616;24.8
131;7;156.25;1;1;.;.;.;1;6.25;1;2;518.616;24.8
131;9;.;.;.;.;.;.;1;6.25;1;2;595.448;25.5
131;9;162.5;1;1;.;.;.;1;6.25;1;2;595.448;25.5
131;10.01944444;.;.;.;1290;1;.;1;6.25;1;2;595.448;23.3
131;11;.;.;.;.;.;.;1;6.25;1;2;804.816;23.3
131;11;143.75;2;1;.;.;.;1;6.25;1;2;804.816;23.3
131;14;.;.;.;.;.;.;1;6.25;1;2;896.724;24.5
131;14;156.25;1;1;.;.;.;1;6.25;1;2;896.724;24.5
131;16;.;.;.;.;.;.;1;6.25;1;2;929.214;25
131;16;156.25;.;.;.;.;.;1;6.25;1;2;929.214;25
131;16.01041667;.;.;.;1370;1;.;1;6.25;1;2;929.214;25
131;18;.;.;.;.;.;.;1;6.25;1;2;1111.6385;24.2
131;21;.;.;.;.;.;.;1;6.25;1;2;1360.45;25.8
131;23;.;.;.;.;.;.;1;6.25;1;2;1628.262;25.9
131;25;.;.;.;.;.;.;1;6.25;1;2;1886.466;25.8
139;0;.;.;.;.;.;.;1;6.25;1;2;86.2125;22.7
139;2;.;.;.;.;.;.;1;6.25;1;2;106.1705;23.5
